,id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments,supplier_ids,id,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
0,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
1,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
2,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
3,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
4,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
5,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
6,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
7,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
8,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',4,1,NWTB-1,Northwind Traders Chai,,13.5000,18.0000,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
9,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
